ID,CAPA_ID,ESTILO_ID,TIPO_ID,GEOJSON,NOMBRE,DESCRIPCION,ESTADO,ELIMINADO
175,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.6109336, -17.72694681]}, ""properties"": {}}",ALALAY - PAJCHA 01 - COMERCIAL,,,
176,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.7039486, -17.8498712]}, ""properties"": {}}",VILA VILA - AGUADA B - COMERCIAL,,,
177,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.70340035, -17.83745654]}, ""properties"": {}}",VILA VILA - AGUADA B - COMERCIAL (2),,,
178,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.69780927, -17.8781691]}, ""properties"": {}}",VILA VILA - AGUADA B - COMERCIAL (3),,,
179,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.67923066, -17.82321745]}, ""properties"": {}}",VILA VILA - CUEVAS PAMPA - COMERCIAL,,,
180,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.67181265, -17.90999037]}, ""properties"": {}}",VILA VILA - SIVINGANI ALTO - COMERCIAL,,,
181,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.66958925, -17.92402754]}, ""properties"": {}}",VILA VILA - SIVINGANI ALTO - COMERCIAL (2),,,
182,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.66315383, -17.91824585]}, ""properties"": {}}",VILA VILA - MULLU KUCHU - COMERCIAL,,,
183,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.8756995, -17.4756218]}, ""properties"": {}}",SAN BENITO - TUTI SAN ISIDRO - COMERCIAL,,,
184,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.85652861, -17.44697576]}, ""properties"": {}}",SAN BENITO - TUTI ALTO - COMERCIAL,,,
185,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.91824018, -17.46698323]}, ""properties"": {}}",SAN BENITO - PAJCHA PUJRO - COMERCIAL,,,
186,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.8756995, -17.4756218]}, ""properties"": {}}",SAN BENITO - TUTI SAN ISIDRO - COMERCIAL (2),,,
